Name,Departments,Rating,Difficulty,Courses
Jacqueline Bobo,Feminist Studies,4,2.4,"FEMST 40, FEMST 144, FEMST 142, FEMST 143"
Amy Boddy,Anthropology,5,2.3,"ANTH 171, ANTH 177AB, ANTH 150, ANTH 9, ANTH 203"
Karen Bogart,Business,4,3,"TMP 120, TMP 124, TMP 402, TMP 240, TMP 244"
Henning Bohn,Economics,3.4,3.2,"ECON 135, ECON 133, ECON 204A"
Maurizia Boscagli,English,3.8,3.4,"ENGL 104B, ENGL 122CS, ENGL 122UE, ENGL 184, ENGL 197"
Shivani Bothra,Religion; Religious Studies,5,3,"RG ST 20, RG ST 190NV, RG ST 11A, RG ST 162D, RG ST 11C"
Brad Bouley,History,4.9,3,"HIST 4B, HIST 121A, HIST 106B, HIST W 121A, HIST W 4B"
Janet Bourne,Music,5,3,"INT 137RS, MUS 160A, MUS 260G, MUS 273, MUS 99"
Dirk Bouwmeester,Physics,2.8,4.3,"PHYS 2, PHYS 123A, PHYS 250, PHYS 199"
Joe Bowers,Electrical & Comp. Engineering; Business,3.3,3.4,"TMP 242, ECE 228A"
Mike Bowers,Chemistry,1.6,4.3,"CHEM 113B, CHEM 113C, CHEM 113A, CHEM 596"
Ingrid Bowman,Linguistics,3.5,4,"LING 12, LING 3C, LING 10, LING 8"
Risa Brainin,Theater,4.8,2.8,"INT 36TS, THTR 152A, THTR 15A, THTR 151D, THTR 151C"
Benjamin Brecher,Music,2.5,3.5,"MUS 20A, MUS 20C, MUS 20B, MUS A 38, MUS A 238P"
Charlotte Bremser,Theater; Asian American Studies; Fine Arts,5,2.4,"THTR 9, DANCE 145G, THTR 5, AS AM 142, THTR 2C"
Mary Brenner,Education,4,3.5,"ED 124, ED 221B, ED 205, ED 199"
Forrest Brewer,Electrical & Comp. Engineering; Computer Science,2.6,4.3,"ECE 153A, ECE 253, ECE 594BB, ECE 224A, CMPSC 153A"
Tristan Bridges,Sociology,5,4,"SOC 146, SOC 159M, SOC 185G, SOC 245D"
Cherie Briggs,Biology,4.3,2.6,"EEMB 146, EEMB W 146, EEMB 194BC, EEMB 247, EEMB 595TE"
Jeremy Brightbill,Mathematics,4.5,4.1,"MATH 111A, MATH 108A, MATH 8, MATH 111B"
Frank Brown,Chemistry; Chemical Engineering; Physics,2.6,3.8,"CHEM 112A, PHYS 119B, CHEM 112B, CHEM 112C, PHYS 219"
Kara Mae Brown,Writing,4.6,3.6,"WRIT W 107WC, WRIT 2, WRIT 107WC, WRIT 105C, INT 36BH"
Michelle Brown,Anthropology,2.5,4.5,"ANTH 153T, ANTH 103, ANTH 123, ANTH 241A, ANTH 241B"
Randalyn Browning,Writing,4.3,2.8,"WRIT 2, WRIT 109ED, WRIT 2LK, WRIT 105C, WRIT 109GS"
Kathleen Bruhn,Political Science,3.8,3.8,"POL S 6, POL S 147, POL S 594II, POL S 197C, POL S 236"
Anna Brusutti,Film,4,3,"FAMST 46, FAMST 101B, FAMST 155CN, FAMST 122NI, FAMST 169"
Tevfik Bultan,Computer Science,2.9,3.7,"CMPSC 32, CMPSC 40, CMPSC 189B, CMPSC 267, CMPSC 292G"
Steve Buratto,Chemistry,4.1,3.2,"CHEM 116AL, CHEM 150, CHEM 113A, CHEM 112B, CHEM 118"
Rudy Busto,Religion; Religious Studies; Asian American Studies,4.4,2.2,"RG ST 71, AS AM 71, RG ST 191A, RG ST 190FC, RG ST 110F"
Alison Butler,Chemistry,3.1,4.1,"CHEM 171, CHEM 290, CHEM 596, CHEM 199"
Katie Byl,Mechanical Engineering; Electrical & Comp. Engineering; Physics,3.1,3.8,"ECE 130C, ECE 594D, ECE 147B, ECE 183, PHYS 106"
Jose Cabezon,Religion; Religious Studies,4.5,2.6,"RG ST 31, RG ST 257, RG ST 135, RG ST 254A"
Claudio Campagnari,Physics,3.4,3.1,"PHYS 6CL, PHYS 6AL, PHYS 6BL, PHYS 29, PHYS 115B"
Eric Campbell,Linguistics,3.6,3.3,"LING 109, LING 115, LING 221C, LING 191, LING 595"
Juan Campo,Religion; Religious Studies,3.5,3.4,"RG ST 185, RG ST 140D, RG ST 140B, RG ST 140C, RG ST 140F"
Akiyo Cantrell,Languages; East Asian Languages & Cultures,4,2.9,"JAPAN 3, JAPAN 1, JAPAN 5, JAPAN 4, JAPAN 2"
Emilio Capettini,Classics; Classics,4,3,"CLASS 109, GREEK 1, CLASS 180A, CLASS 185, GREEK 210"
Craig Carlson,Biology,4.4,3,"EEMB 3, EEMB 142B, EEMB 144, EEMB 144L, EEMB 595MS"
Julie Carlson,English,4,2.6,"ENGL 103B, ENGL 170TL, ENGL 179, ENGL 170IC, ENGL 233"
Jean Carlson,Physics,3,4,"PHYS 101, PHYS 100A, PHYS 100B"
Tom Carlson,Religion; Religious Studies,4.1,4.5,"RG ST 80C, RG ST 200B, RG ST 190TC, RG ST 223, RG ST 594C"
Andrew Carter,Statistics,3.1,3,"PSTAT 122, PSTAT 105, PSTAT 175, PSTAT 207A, PSTAT 207B"
Sarah Case,History; Feminist Studies,3.5,3.1,"HIST 159B, HIST 159C, HIST 159R, FEMST 159B, FEMST 159C"
Dolores Casillas,Chicano Studies; Linguistics,4.6,2.5,"CH ST 1C, LING 187, CH ST 187, CH ST 238, CH ST 199"
Susan Cassels,Geography,3.2,2.9,"GEOG 6, GEOG 141A, GEOG 152, GEOG 254, GEOG 288SC"
Alicia Cast,Sociology,5,3,"SOC 149, SOC 147, SOC 154A, SOC 108"
Karel Casteels,Mathematics,4.9,3,"MATH 3A, MATH 108A, MATH 108B, MATH 137A, MATH 117"
Veronica Castillo-Munoz,History,2.3,3.1,"HIST 56, HIST 168A, HIST 168B, HIST 136M, HIST 168CR"
Kelly Caylor,Geography; Environmental Science & Mgmt.,1,3,"ESM 203, GEOG 136, ESM 401C, ESM 401D, ESM 401A"
Hector Ceniceros,Mathematics; Electrical & Comp. Engineering,3.3,3,"MATH 3B, MATH 6A, MATH 104B, MATH 122A, MATH 104A"
Alison Cerezo,Psychology,4,2,"CNCSP 102, CNCSP 200, CNCSP 261A"
Joe Chada,Chemical Engineering,4.6,3.6,"CH E 152A, CH E 5, CH E 128, CH E 180B, CH E 184A"
Tymoteusz Chajdas,Writing; Global & International Studies,3.8,3.4,"GLOBL 157, INT 93LS, WRIT 2"
Shiv Chandrasekaran,Mechanical Engineering; Mathematics; Electrical & Comp. Engineering; Computer Science,4.4,3.2,"ECE 210A, ECE 130C, ECE 130B, CMPSC 211A, ECE 130A"
Alenda Chang,Film,2.8,4.3,"FAMST 192DT, FAMST 101D, FAMST 189SW, FAMST 166GG, FAMST 189MM"
Shiyu Chang,Computer Science,5,2,"CMPSC 291A, CMPSC 165B, CMPSC 196"
Gary Charness,Economics,3.1,2.9,"ECON 174, ECON 176"
Utathya Chattopadhyaya,History,3.6,4.1,"HIST 88, HIST 189M, HIST 9, INT 84CX, HIST 282G"
Swati Chattopadhyay,Art History,3.8,3.5,"ARTHI 5A, ARTHI 136A, ARTHI 136I, ARTHI 186SS, ARTHI 200A"
Eric Chen,Mathematics,3.9,3.5,"MATH 4A, MATH 6A, MATH 117"
Huachen Chen,Mathematics,3.8,2.9,"MATH 6A, MATH 4B, MATH 3B, MATH 117, MATH 108B"
Irene Chen,Chemistry,2.7,3.3,"BMSE 201B, CHEM 259, BMSE 596, CHEM 596, CHEM 199"
Shu-Chuan (Bella) Chen,Languages,4.9,2.4,"CHIN 1, CHIN 2, CHIN 3, CHIN 4, CHIN 6"
Tao Chen,Statistics,4,3.7,"PSTAT 160A, PSTAT 171, PSTAT 170, PSTAT 276, PSTAT 176"
Mhoze Chikowero,History; Black Studies,3.4,3,"HIST 49C, HIST 49A, HIST 49B, HIST 148B, HIST 148PL"
Bradley Chmelka,Chemical Engineering,3.4,3.4,"CH E 140B, CH E 120B, CH E 128, CH E 152A, CH E 216A"
Alexander Cho,Asian American Studies,5,2,"AS AM 8, AS AM 118, AS AM 127, AS AM 138, AS AM 171BB"
Gunhee Cho,Mathematics,4.4,3.1,"MATH 4B, MATH 6A, MATH 6B, MATH 8, MATH 147A"
Eunjin Choi,Languages; East Asian Languages & Cultures,4,2.8,"KOR 120, KOR 142, KOR 175, KOR 20, KOR 139"
Rolf Christoffersen,Biology,3.3,3.9,"MCDB 1A, MCDB 1LL, MCDB 101B, MCDB 28, MCDB 220C"
Vena Chu,Geography,5,3,"GEOG W 12, GEOG 148, GEOG 115A, GEOG 113, GEOG 115B"
Jordan Clark,Geology,2.6,3.6,"ENV S 147, EARTH 168, ENV S 141, ENV S 168, EARTH 125"
Keith Clarke,Geography,3.4,2.6,"GEOG W 12, GEOG 183, GEOG 126, GEOG 596"
Dennis Clegg,Biology,4.3,4,"MCDB 1A, MCDB 146, MCDB 199, BMSE 596"
Raymond Clemencon,Sociology; Global & International Studies,4.4,3.8,"SOC 134G, GLOBL 161, GLOBL 172, SOC 105E"
Katie Coburn,Statistics,4,3.3,"PSTAT 120A, PSTAT 120B, PSTAT 131, PSTAT 120C, PSTAT 231"
Bridget Coggins,Political Science,2.9,3.8,"POL S 7, POL S 141, POL S 225, POL S 594CW"
Benjamin Cohen,Political Science; Global & International Studies,4.4,3.4,"POL S 186, POL S 106MO, GLOBL 123, POL S 270, POL S 273"
Nancy Colahan,Fine Arts,4.5,3.8,"DANCE 56D, DANCE 56B, DANCE 56A, DANCE 156B, DANCE 156A"
Nancy Collins,Psychology,4.8,2.3,"PSY 221C, PSY 221A, PSY 199, PSY 99"
Phill Conrad,Computer Science,5,2.3,"CMPSC 16, CMPSCW 8, CMPSC 56, CMPSC 48, CMPSC 156"
Daniel Conroy-Beam,Psychology,4.5,3.1,"PSY 143, PSY 10B, PSY 90B, PSY 90A, PSY 90C"
Elizabeth Cook,English; Literature,4.3,3,"ENGL 102, ENGL 128EN, ENGL 197, ENGL 102S, ENGL 199RA"
Tim Cooley,Music,3.1,2.8,"MUS 175L, MUS 176, MUS 225, MUS 192B, MUS 192A"
Daryl Cooper,Mathematics,5,3,"MATH 34A, MATH 34B, MATH 227C, MATH 221B, MATH 221A"
Keith Corona,Linguistics,4.9,2.5,"LING 3C, LING W 3C, LING 12, LING W 12, LING 3B"
Leda Cosmides,Psychology,3.5,2.9,"PSY 155, PSY 142, PSY 594LC, PSY 254, PSY 199"
Craig Cotich,Writing,4.5,3.1,"WRIT 151A, WRIT 151B, WRIT 105G, WRIT 1, WRIT 105PS"
Manuel Covo,History,3.6,3,"HIST 4C, HIST 127F, HIST 127A, HIST 193C, HIST 123R"
Katy Craig,Mathematics,3.6,4,"MATH 6B, MATH 117, MATH 201A, MATH 260J, MATH 260L"
Nathaniel Craig,Physics,4.3,4.3,"PHYS 115B, PHYS 115C, PHYS 229A, PHYS 221C, PHYS 229B"
Maria Crickette,French & Italian,5,2.6,"ITAL 2, ITAL 3, ITAL 1, ITAL 1HY, ITAL 4"
Christene D'Anca,Writing; Literature,5,3,"WRIT 2, C LIT 30A"
Carla D'Antonio,Biology,4.6,2.4,"ENV S 128, EEMB 128, ENV S 193FE, EEMB 595D, EEMB 194D"
Xianzhe Dai,Mathematics,2.9,3.3,"MATH 147A, MATH 108B, MATH 8, MATH 260EE, MATH 240A"
Samantha Daly,Mechanical Engineering,3.8,3.8,"ME 14, ME 125FA, ME 166"
Mona Damluji,Film,3.9,3.6,"FAMST 96, FAMST 166CC, FAMST 187IS, FAMST 187OC, INT 594EJ"
Reginald Daniel,Sociology,4,3.4,"SOC 185D, SOC 139C, SOC 139A, SOC 139RN, SOC 214A"
Debanuj Dasgupta,Feminist Studies,4,2.9,"FEMST 20, FEMST 162, FEMST 151AA, FEMST 163, FEMST 250AI"
Raziel Davison,Anthropology,4.9,3,"ANTH 5, ANTH 7, ANTH 145, ANTH 9"
Leila De Carvalho,Geography,3.5,1,"GEOG 110, GEOG 131, GEOG 280, GEOG 276, GEOG 288LC"
Clement De Chaisemartin,Economics,4.3,3.7,"ECON 140A, ECON 241C, ECON 245F, ECON 245G"
Christopher Dean,Writing,5,2,"WRIT 109ED, WRIT 1, WRIT 105M, WRIT 50, WRIT 105CW"
Jeannine Delombard,English; Religion; Religious Studies,2.8,4.5,"ENGL 103A, ENGL 37, RG ST 37, ENGL 131, ENGL 131BR"
Olivier Deschenes,Economics; Environmental Science & Mgmt.,4.6,4,"ECON 10A, ECON 140B, EDS 241, ESM 246, ECON 260H"
Ranjit Deshmukh,Environmental Science & Mgmt.,3.9,3,"ENV S 115, ENV S 105, ESM 293, ENV S 199RA"
Nils Detering,Statistics,3.1,4.3,"PSTAT 160A, PSTAT 213A, PSTAT 210, PSTAT 223C"
Timothy Devries,Geography,4.6,2.4,"GEOG 3, GEOG 163, GEOG 166, GEOG 210A, GEOG 271"
Tim Dewar,Education,5,2,"ED 258J, ED E 321"
Siddharth Dey,Chemical Engineering; Bioengineering,2.8,3.2,"CH E 107, CH E 120A, CH E 120C, CH E 154, BIOE 220A"
Micaela Diaz Sanchez,Chicano Studies,2.9,2.5,"CH ST 1B, CH ST 148, CH ST 188C, CH ST 156, CH ST 200B"
Elizabeth Digeser,History,3.6,4.3,"HIST 2A, HIST 4A, HIST 114A, HIST 112E, HIST 9"
Paige Digeser,Political Science,4,4,"POL S 119JW, POL S 119HR, POL S 119DJ, POL S 241, POL S 199"
Qinghua Ding,Geography,4.8,2,"GEOG 3, GEOG 119, GEOG 210C, GEOG 249, GEOG 266"
Yufei Ding,Computer Science,1.8,3.5,"CMPSC 160, CMPSC 293S, CMPSC 596"
Somayeh Dodge,Geography,4.1,3.3,"GEOG W 12, GEOG 176A, GEOG 176C, GEOG 288SD, GEOG 195SD"
Zvonimir Dogic,Physics,3.1,3.9,"PHYS 3, PHYS 6CL, PHYS 6BL, BMSE 224, PHYS 199"
Michael Doherty,Chemical Engineering,4,4.2,"CH E 184B, CH E 184A, CH E 210A, CH E 230C"
James Donelan,Writing; English,4.4,3.8,"ENGL 102, ENGL 179, WRIT 2, WRIT 107L, WRIT 109V"
Brian Donnelly,English,5,3,"ENGL 10, ENGL 192SF, ENGL 192DF, ENGL 103B, ENGL 165PP"
Jeremy Douglass,English,3.5,2.8,"ENGL 147AB, ENGL 146GB, ENGL 147VN, ENGL 149, INT 36GS"
Adele Doyle,Biology; Mechanical Engineering,1.3,3.7,"ME 15, ENGR 220A, MCDB 596, MCDB 199"
Emilie Dressaire,Mechanical Engineering,5,2.8,"ME 152A, ME 125ED, ME 221, ME 199"
Dana Driskel,Film,4.4,3.6,"FAMSTW 151FA, FAMST 187AR, FAMST 199"
A Duffy,English,5,1,"ENGL 150, ENGL 124, ENGL 193, ENGL 104B, ENGL 187ML"
Norah Dunbar,Communication,4.4,3.1,"COMM 107, COMM W 146, COMM W 107, COMM 199RA"
Ian Duncan,Statistics,3,4.3,"PSTAT 172A, PSTAT 171, PSTAT 172B, PSTAT 296B, PSTAT 296A"
Francis Dunn,Classics; Literature; Classics,3.9,2.8,"CLASS 40, CLASS 60, C LIT 30A, CLASS 175, GREEK 2"
Daigengna Duoer,Religion; Religious Studies; Languages; East Asian Languages & Cultures,5,2.3,"RG ST 73, JAPAN 73, RG ST 21, RG ST 190DM"
Jason Duque,Education,3.1,3.3,"ED W 125, ED 123, ED 125, ED 150, ED 263"
Dorota Dutsch,Classics; Classics; Classics,4.3,2.9,"CLASS 106, LATIN 1, INT 84AM, LATIN 214, GREEK 102"
Douglas Eardley,Physics,4.3,1.3,"PHYS 110B, PHYS 24, PHYS 210A, PHYS 210B, PHYS 205"
Alan Ebenstein,Economics,3.1,3,"ECON 107A, ECON 112A, ECON 113B, ECON 107B"
Ebrahim Ebrahim,Mathematics,3.7,3.2,"MATH 4B, MATH 118A, MATH 118B, MATH 122A, MATH 8"
Miguel Eckstein,Psychology,4.5,3,"PSY 130, PSY 129L, PSY 199, PSY 228, PSY 594ME"
Adrienne Edgar,History,3.3,2.9,"HIST 4C, HIST 135C, HIST 123C, HIST 135B, HIST 123Q"
Zachary Eilon,Geology,4.8,3.3,"EARTH 2, EARTH 175, EARTH 194ML, EARTH 133, EARTH 256"
Auli Ek,Writing,3.3,2.5,"WRIT 2, WRIT 107B, WRIT 107EP"
Amr El Abbadi,Computer Science,4.4,3.3,"CMPSC 171, CMPSC 138, CMPSC 130A, CMPSC 271, CMPSC 192"
William Elison,Religion; Religious Studies; History; Anthropology,4.8,2.8,"RG ST 28, HIST 28, RG ST 16, RG ST 162G, INT 36CC"
Sonny Elizondo,Philosophy,5,3.3,"PHIL 100A, PHIL 150A, PHIL 138, PHIL 141, PHIL 166A"
Emily Engel,History,2.3,3.2,"LAIS 10, LAIS 102"
Brice Erickson,Classics; Classics,4.8,2.8,"CLASS 40, CLASS 170, CLASS 50, CLASS 165, CLASS 155"
Brian Ernst,Writing,5,2.1,"WRIT 1, WRIT 2, WRIT 107B, WRIT 105R, WRIT 105CD"
Ignacio Esponda,Economics,5,2.9,"ECON 171, ECON 156, ECON 210A, ECON 215G, ECON 199"
Marshall Evans,Religion; Religious Studies; Classics,5,3,"CLASS 40, RG ST 128A, RG ST 116A, RG ST 127A"
Christopher Evelyn,Biology,3.3,3.4,"EEMB 113, EEMB 131, EEMB 113L"
Thomas Even,Biology,5,3,"EEMB 2, EEMB 2LL, EEMB 142A, EEMB 148, EEMB W 22"
Simonetta Falasca,Sociology,4,3.3,"SOC 118CW, SOC 185F, SOC 218CP, SOC 218C"
Kevin Falvey,Philosophy,3,3.3,"PHIL 100E, PHIL 100B, PHIL 149, PHIL 100D, PHIL 150D"
Patricia Fancher,Writing,4,3.4,"WRIT 109ST, WRIT 105M, WRIT 105R, WRIT 109GS, WRIT 2"
Stuart Feinstein,Biology,5,3.3,"MCDB 1A, MCDB 1LL, MCDB 153, MCDB 153H, MCDB 596"
Cynthia Felando,Film,3,3.8,"FAMST 101A, FAMST 155NH, FAMST 101E, FAMST 56ZM, FAMST 96"
Leslie J. Feldman,Business,2.9,3.6,"TMP 120, TMP 491P"
Raisa Feldman,Statistics,3.3,3,"PSTAT 174, PSTAT 213A, PSTAT 213B, PSTAT 213C, PSTAT 274"
Darby Feldwinn,Chemistry; Education,3.3,4.5,"CHEM 1A, CHEM 1B, CHEM 1BL, CHEM 1C, ED 129"
Erika Felix,Psychology,3.5,3.4,"CNCSP 114, CNCSP 197, CNCSP 291C, CNCSP 262C, CNCSP 199RA"
Yu Feng,Computer Science,2.9,4.5,"CMPSC 160, CMPSC 162, CMPSC 292C, CMPSC 190I, CMPSC 596"
Patricio Fernandez,Philosophy,3.4,3.5,"PHIL 100A, PHIL 141, PHIL 147, PHIL 176, PHIL 247"
Omar Figueredo,Spanish,4,3,"SPAN 30, SPAN 1, SPAN 5, SPAN 2, SPAN 6"
Ruth Finkelstein,Biology,2.2,4.4,"MCDB 1LL, MCDB 1B, MCDB 118, MCDB 225, MCDB 224"
Rob Fitch,Biology,4.5,3.9,"EEMB 128, ENV S 128"
Andrew Flanagin,Communication,3.8,4.3,"COMM 118, COMM 116, COMM 214, COMM 199RA"
Kathy Foltz,Biology,5,3.5,"MCDB 135, MCDB 260, MCDB 112L, MCDB 135H, MCDB 220A"
Sam Fontaine,Political Science,5,2,"POL S 153, POL S 157, POL S 152"
John Foran,Sociology,5,2.5,"SOC 134EC, SOC 134A, ENV S 130EV, SOC 130EV, SOC 130SD"
Katerina Ford,Psychology,2,4.1,"PSY 102, PSY 149, PSY 120L"
Peter Ford,Chemistry,2,4.5,"CHEM 173B, CHEM 279, CHEM 272, CHEM 176, CHEM 276"
Daniel Frank,Writing,5,2.8,"WRIT 107T, WRIT 105M, WRIT 2E, WRIT 2, WRIT 50"
Alexander Franks,Statistics; Computer Science,5,3.3,"PSTAT 115, PSTAT 195, PSTAT 197B, PSTAT 197C, CMPSC 190DE"
Glenn Fredrickson,Chemical Engineering,4.5,3.8,"CH E 210A, CH E 230B, CH E 210B, CH E 132A"
Laurie Freeman,Political Science,2.3,2.7,"POL S 6, POL S 135, POL S 173, POL S 106EA, POL S 196"
Ernest Freund,Physics,4.3,2.9,"PHYS 6B, PHYS 6A, PHYS 6C"
Alan Fridlund,Psychology,4.9,4,"PSY 1, PSY 183"
Halley Froehlich,Biology,5,2,"ENV S 130C, EEMB 142C, EEMB 130C, EEMB 142CL"
Sabine Fruhstuck,Ethnic Studies; Languages; East Asian Languages & Cultures; History; Anthropology,3.8,3,"EACS 4B, ANTH 176, JAPAN 162, EACS 166, HIST 188S"
Scott Fulkerson,Economics,4.5,4.3,"ECON 3B, ECON 136A, ECON 132A, ECON 118"
Deborah Fygenson,Physics,2.1,4.3,"PHYS 3L, PHYS 20AL, PHYS 4L, PHYS 20BL, PHYS 20CL"
Shelly Gable,Psychology,4.5,2.5,"PSY 1, PSY 102, PSY 149, PSY 199"
Viktoria Gabriel,Germanic & Russian Studies,2.5,3.6,"GER 1, GER 3, GER 2, GER 5, GER 4"
Guy Gabriele,Business,5,2.4,TMP 124
Morgan Gainer,Chemistry,4.4,5,"CHEM 6AL, CHEM 109A, CHEM 6BL, CHEM 109C, CHEM 109B"
Ralph Gallucci,Classics,4.3,2,"INT 95A, CLASS 40, CLASS 20B, CLASS 36, CLASS 20A"
Phil Gans,Geology,3.8,4.4,"EARTH 103, EARTH 186, EARTH 158, EARTH 185, EARTH 596"
Mario Garcia,Chicano Studies,4.3,2.5,"CH ST 1A, CH ST 168E, CH ST 168B, CH ST 168I, CH ST 200A"
Marc Garcia-Martinez,Chicano Studies,3.7,2.6,"CH ST 1C, CH ST 146, CH ST 180, CH ST 174A, CH ST 182"
Peter Garfield,Mathematics,4.5,4.3,"MATH 4A, MATH 34B, MATH 34A, MATH 4B, MATH 6A"
W.Randall Garr,Religion; Religious Studies,5,3,"RG ST 115A, RG ST 129, RG ST 115G, RG ST 17A"
Rod Garratt,Economics,4.4,3,"ECON 1, ECON 135, ECON 177, ECON 290, ECON 215E"
Steven Gaulin,Anthropology,4,4.3,"ANTH 5, ANTH 151T, ANTH 244, ANTH 199RA, ANTH 596"
Robert Geller,Physics; Physics,3.9,3.8,"PHYS 6A, PHYS 6C, PHYS 6B, ASTRO 1, PHYS 1"
Gina Genova,Writing,4.6,3.3,"WRIT 107L, WRIT 157A, WRIT 107B, WRIT 105PS, WRIT 162"
Bishnupriya Ghosh,Global & International Studies; English,4,2.3,"ENGL 10, GLOBL 1, GLOBL 157, ENGL 147GM, ENGL 10S"
Jennifer Gibbs,Communication,5,2.8,"COMM 183, COMM 136, COMM 181A, COMM 180, COMM 280"
Frederic Gibou,Computer Science; Mechanical Engineering,4,2.6,"CMPSC 111, ME 17, CMPSC 596"
Aaron Gidding,Anthropology; Art History,3.3,3.3,"ANTH 197BA, ANTH 118TS, ANTH 197GI, ANTH 197DB, ARTHI 293D"
Steve Giddings,Physics,3.5,3.6,"PHYS 131, PHYS 215A, PHYS 221B, PHYS 221A, PHYS 221C"
Barry Giesbrecht,Psychology,4.4,2.9,"PSY 163BG, PSY 118L, PSY 233, PSY 594BG, PSY 234"
John Gilbert,Computer Science,4,2.4,"CMPSC 111, CMPSC 292F, CMPSC 192, CMPSC 196"
Timothy Gilmore,English,3,2.8,"ENGL 10, ENGL 103B, ENGL 102, ENGL 122NE, ENGL 122UM"
Michael Goard,Psychology; Biology,4.9,4,"MCDB 151, PSY 163MG, PSY 161, PSY 594SC, PSY 591MG"
Tug Goddard,Languages; East Asian Languages & Cultures,1.3,3.6,"JAPAN 112, JAPAN 159, JAPAN 115, JAPAN 180ET, JAPAN 144"
Amy Gonzales,Communication,3.1,3.6,"COMM 88, COMM 101, COMM 184, COMM 186, COMM 160DD"
Nino Gonzalez,Biology,2.8,4.4,"MCDB 1B, MCDB 1A, MCDB 101A, MCDB 92, MCDB 194D"
Ken Goodearl,Mathematics,4.4,3,"MATH 4A, MATH 111A, MATH 117, MATH 108B, MATH 236A"
Jon Goodwin,Psychology,5,1.6,"CNCSP 101, CNCSP 110, CNCSP 216, CNCSP 256, CNCSP 257B"
Giri Gopalan,Statistics,4.8,2.3,"PSTAT 120B, PSTAT 120C, PSTAT 174, PSTAT 131, PSTAT 231"
Michael Gordon,Chemistry; Chemical Engineering,4.9,3.4,"CH E 110A, CH E 10, CH E 180B, CH E 166, CH E 266"
Kostas Goulias,Geography,4.4,1.5,"GEOG 111C, GEOG 111A, GEOG 111B, GEOG 211A, GEOG 596"
Gregory Graves,History,4.3,2.4,"ENV S 176A, ENV S 173, HIST 177, HIST 173T"
Andrew Griffin,English,5,3.5,"ENGL 10, ENGL 10S, ENGL 231"
Brian Griffith,History,5,2.9,"HIST 193F, HIST 123B, HIST 201DH"
Jim Grippo,Music,3.2,2.7,"MUS 122O, MUS 22O"
Steven Gross,Music,4.3,3.6,"MUS 28A, MUS A 45H, MUS A 145, MUS A 145H, MUS A 44"
Susan Grover,Economics,4.4,3.8,"ECON 137A, ECON 136A, ECON 194DG"
Michelle Grue,Writing,5,2,"WRIT 1, WRIT 109GS, WRIT 2, WRIT 105M, WRIT W 109ST"
Mengyang Michael Gu,Statistics,3.6,3.5,"PSTAT 120C, PSTAT 220C, PSTAT 262UQ, PSTAT 262DS, PSTAT 237"
Daoxiong Guan,Languages,5,2,"CHIN 1, CHIN 3, CHIN 2, CHIN 125, CHIN 1NH"
Arpit Gupta,Computer Science,2,3,"CMPSC 176C, CMPSC 176B, CMPSC 293N, CMPSC 196, CMPSC 596"
Trinabh Gupta,Computer Science,1.8,4.4,"CMPSC 170, CMPSC 178, CMPSC 293G"
Sathya Guruswamy,Physics,3.3,3.8,"PHYS 23, PHYS 101, PHYS 100A, PHYS 98, PHYS 180"
Michael Gurven,Anthropology,3.5,4,"ANTH 129MG, ANTH 161, ANTH 169, ANTH 199RA, ANTH 205"
Dr. Coco Gutiérrez-Magallanes,Feminist Studies; Chicano Studies,2.4,1.8,"FEMST 50, CH ST 151, CH ST 1C, CH ST 181, CH ST 143"
Kiley Guyton Acosta,Spanish; English,5,2.3,"SPAN W 2, SPAN 3, SPAN 16A, SPAN 139, SPAN W 1"
Baron Haber,English,4.8,2.1,"ENGL 193, ENGL 122ME, ENGL 10, ENGL 193S"
Yang Hai,Chemistry,4.5,3.5,"CHEM 142A, CHEM 112L, CHEM 293, CHEM 259, CHEM 181"
John Hajda,Psychology; Film; Music,3.3,3.2,"PSY 131, MUS 160F, FAMST 184"
Daniel Halmrast,Mathematics,5,3,"MATH 4B, MATH 6B, MATH 6A"
Kristy Hamilton,Communication,3.5,2.5,"COMM 166, COMM 87, COMM 160DM, COMM 204A"
Leslie Hammer,Writing,4.5,3.1,"WRIT 1, WRIT 2, WRIT 109SS, WRIT 109HU, WRIT 109CS"
Song-I Han,Chemistry; Chemical Engineering,2.5,4.1,"CHEM 112A, CH E 110B, CHEM 112C, CH E 594, CHEM 219"
Gary Hansen,Business,3.2,3.4,"TMP 412, TMP 240, TMP 491P"
Matthew Hanser,Philosophy,3.8,3.1,"PHIL 100A, PHIL 144, PHIL 131, PHIL 296A, PHIL 231G"
Jeffrey Hanson,Writing,5,3,"WRIT 2, WRIT 105PS, WRIT 107G"
Ben Hardekopf,Computer Science,5,3.3,"CMPSC 138, CMPSC 32, CMPSC 160, CMPSC 40, CMPSC 293C"
Harmon C J,Economics,3.5,3.3,"ECON 139, ECON 136B, ECON 136A, ECON 136C, ECON 3A"
Deborah Harris,Writing,5,2.3,"WRIT 2, WRIT 105R, WRIT 109HP, WRIT 109V, WRIT 109F"
John Hartman,Economics; Statistics,2.5,3.9,"ECON 10A, ECON 134A, ECON 5, PSTAT 109"
Davit Harutyunyan,Mathematics,4.4,3.8,"MATH 122A, MATH 108B, MATH 8, MATH 201A, MATH 201B"
Kumi Hashimoto,Languages; East Asian Languages & Cultures,5,2.9,"JAPAN 1, JAPAN 2, JAPAN 3"
